,name,cafeteria_id,category,portion_volume,portion_weight,calories,total_fat,saturated_fat,carbohydrate,sugar,protein,fiber,sodium,potassium,station,cholesterol,calcium,iron,vitamin_d,vitamin_c,vitamin_a,pk,school
59,Garlic Rosemary Pork Loin,4696,protein,118.294,85.05,120,7,3.0,1.0,0.0,16.0,0.0,480,360.0,FYUL,40.0,10.0,0.6,5.0,0.0,0.0,1059,10
60,Garlic Thyme Garbanzo Beans,102554,protein,118.294,73.79,120,2,0.0,20.0,3.0,6.0,6.0,5,220.0,FYUL,0.0,40.0,2.2,0.0,2.0,0.0,1060,10
61,Garlicky Chickpea Salad,1486.9,vegetable,118.294,102.07,140,10,1.0,10.0,2.0,3.0,3.0,80,150.0,FYUL,0.0,30.0,0.9,0.0,11.0,0.0,1061,10
62,Giardiniera Roast Vegetables,119228.1,vegetable,236.588,113.4,45,2,0.0,7.0,3.0,1.0,2.0,210,240.0,FYUL,0.0,20.0,0.4,0.0,45.0,0.0,1062,10
63,Golden Beet Salad,104005,vegetable,118.294,140.13,60,0,0.0,13.0,10.0,2.0,3.0,370,330.0,FYUL,0.0,30.0,0.9,0.0,23.0,0.0,1063,10
64,Grilled Herbed Chicken,16856.47,protein,118.294,85.05,190,7,1.5,0.0,0.0,32.0,0.0,750,360.0,FYUL,110.0,10.0,0.6,0.0,0.0,5.0,1064,10
65,Grilled Vegetables,5294.16,vegetable,118.294,130.15,25,0,0.0,5.0,4.0,2.0,2.0,60,340.0,FYUL,0.0,20.0,0.8,5.0,48.0,10.0,1065,10
66,Italian Beef,33917,protein,118.294,85.05,150,6,2.5,1.0,0.0,21.0,0.0,45,220.0,FYUL,55.0,10.0,2.0,5.0,2.0,10.0,1066,10
67,Jerk Turkey,80005.2,protein,118.294,85.05,110,4,0.5,3.0,2.0,17.0,0.0,150,190.0,FYUL,45.0,20.0,0.5,5.0,1.0,5.0,1067,10
68,Kachumber Salad,120503,vegetable,118.294,100.56,35,0,0.0,8.0,6.0,1.0,1.0,760,170.0,FYUL,0.0,20.0,0.4,0.0,6.0,5.0,1068,10
69,Lentil and Scallion Salad,55837.1,vegetable,118.294,129.22,180,4,0.5,24.0,2.0,12.0,9.0,220,470.0,FYUL,5.0,30.0,4.0,0.0,3.0,10.0,1069,10
70,Mediterranean Chopped Salad,10664.6,vegetable,118.294,96.18,35,2.5,0.0,4.0,2.0,1.0,1.0,30,170.0,FYUL,0.0,10.0,0.3,0.0,17.0,5.0,1070,10
71,Moroccan Chickpea Salad,35831.1,vegetable,118.294,91.05,90,1.5,0.0,16.0,5.0,4.0,4.0,135,230.0,FYUL,0.0,40.0,1.8,0.0,31.0,0.0,1071,10
72,Peppercorn Roast Beef,967.1,protein,118.294,85.05,150,6,2.5,0.0,0.0,22.0,0.0,30,210.0,FYUL,60.0,0.0,2.0,5.0,0.0,0.0,1072,10
73,Pickled Snap Pea,117998,vegetable,473.0,730.44,270,5,0.0,46.0,34.0,9.0,7.0,7010,650.0,FYUL,0.0,170.0,6.3,0.0,121.0,0.0,1073,10
74,Pineapple Rice,23896.3,grain,118.294,118.37,120,1,0.0,25.0,1.0,2.0,1.0,0,90.0,FYUL,0.0,10.0,0.4,0.0,1.0,0.0,1074,10
75,Puerto Rican Beef Sancocho,119131.3,protein,946.352,430.84,250,6,1.5,33.0,7.0,16.0,3.0,640,660.0,FYUL,35.0,50.0,1.5,0.0,30.0,10.0,1075,10
76,Quinoa and Corn Salad,103446.3,vegetable,118.294,147.95,110,1.5,0.0,21.0,2.0,4.0,3.0,130,250.0,FYUL,0.0,20.0,1.2,0.0,5.0,15.0,1076,10
77,Radish Jicama Cucumber Salad,45934,vegetable,118.294,110.12,40,2,0.0,6.0,2.0,1.0,3.0,60,190.0,FYUL,0.0,20.0,0.7,0.0,13.0,5.0,1077,10
78,Ratatouille with Cannellini Beans,103274.1,protein,236.588,128.05,90,4,0.5,12.0,3.0,3.0,4.0,55,330.0,FYUL,0.0,30.0,1.1,0.0,18.0,0.0,1078,10
79,Roasted Carrots with Cumin & Mint,22663.6,vegetable,118.294,112.54,70,2,0.0,12.0,7.0,1.0,3.0,70,350.0,FYUL,0.0,40.0,0.7,0.0,8.0,0.0,1079,10
80,Roasted Cauliflower,102530,vegetable,118.294,114.46,30,0,0.0,6.0,2.0,2.0,2.0,220,340.0,FYUL,0.0,30.0,0.5,0.0,55.0,0.0,1080,10
81,Roasted Corn,102289,vegetable,118.294,126.47,110,3,0.0,20.0,4.0,3.0,3.0,750,300.0,FYUL,0.0,30.0,1.4,0.0,25.0,10.0,1081,10
82,Roasted Fennel Salad,35016.1,vegetable,118.294,69.78,40,2.5,0.0,4.0,2.0,1.0,1.0,70,250.0,FYUL,0.0,20.0,0.4,0.0,7.0,0.0,1082,10
83,Roasted Parsnips,110645,vegetable,118.294,95.27,90,2.5,0.0,16.0,4.0,1.0,3.0,240,340.0,FYUL,0.0,40.0,0.6,0.0,12.0,0.0,1083,10
84,Roasted Portobello Mushrooms,59008.1,vegetable,118.294,151.16,90,7,0.5,6.0,4.0,3.0,2.0,710,530.0,FYUL,0.0,10.0,0.5,15.0,0.0,0.0,1084,10
85,Roasted Red Potatoes,103800,grain,118.294,113.4,120,3,0.0,22.0,2.0,3.0,2.0,190,600.0,FYUL,0.0,10.0,0.8,0.0,14.0,0.0,1085,10
86,Roasted Sweet Potato Salad,84439,vegetable,118.294,120.45,110,3.5,0.0,18.0,6.0,2.0,3.0,490,280.0,FYUL,0.0,40.0,1.0,0.0,31.0,25.0,1086,10
87,Roasted Sweet Potatoes,103522,grain,118.294,123.18,170,8,0.5,24.0,7.0,2.0,4.0,70,550.0,FYUL,0.0,50.0,0.9,0.0,24.0,0.0,1087,10
88,Roasted Vegetable Medley,103816,vegetable,118.294,218.06,50,0.5,0.0,11.0,6.0,3.0,3.0,190,580.0,FYUL,0.0,60.0,1.0,0.0,60.0,30.0,1088,10
89,Roasted Vegetable Salad,17727.2,vegetable,118.294,56.51,15,0,0.0,3.0,2.0,1.0,1.0,95,110.0,FYUL,0.0,10.0,0.3,0.0,10.0,0.0,1089,10
90,Shaved Brussels Salad,95402,vegetable,118.294,53.85,60,6,1.0,3.0,1.0,1.0,1.0,200,150.0,FYUL,0.0,20.0,0.6,0.0,29.0,0.0,1090,10
91,"Spinach, Kale and Shallots",103523,vegetable,118.294,142.76,45,0.5,0.0,8.0,2.0,4.0,4.0,80,610.0,FYUL,0.0,150.0,2.9,0.0,46.0,0.0,1091,10
