,group,timestamp,name,items,week_num,items_recipe_num,pk,num_missing_Dish,num_bad_units,num_missing_FDA,bad_units
13,breakfast,2022-03-09 07:30:00Z,"Breakfast on Wednesday, March 09, 2022","[1030, 1034, 1028, 1017, 1002]",9,"['2032.23', '129218', '22593.7', '608', '1178.9', '31169.3', '3308.1', '129895', '128444']",1013,4,4.0,0.0,"['1 each', '2 each', '3 slice', '1 plate']"
14,dinner,2022-03-09 16:30:00Z,"Dinner on Wednesday, March 09, 2022","[1160, 1129, 1133, 1156, 1178, 1165, 1063, 1057, 1061, 1114, 1051, 1041, 1457]",9,"['3409.1', '3419', '102368', '22741.1', '14468', '80589.2', '103917.1', '38405.2', '41671.3', '16882.6', '6962.6', '120671.1', '82836.2', '10424.1', '768', '103771.4', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '102802', '103897', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1014,44,6.0,38.0,"['1 each', '1 serving(s)', '1 each', '1 slice', '1 piece', '1 slice']"
15,lunch,2022-03-09 11:00:00Z,"Lunch on Wednesday, March 09, 2022","[1158, 1243, 1290, 1281, 1295, 1301, 1312, 1032, 1061, 1224, 1457]",9,"['4404', '103771', '139280', '104007', '123072', '28061', '129921', '129148', '44716', '553.15', '103333', '120671.1', '106464', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1015,31,1.0,30.0,['1/2 each']
16,afterlunch,2022-03-10 14:30:00Z,"Afterlunch on Thursday, March 10, 2022",[1202],9,"['68742', '37320', '138954', '27213', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '67991.2', '102671', '102810']",1016,16,7.0,9.0,"['1 each', '1 sandwich', '1 each', '1 slice', '1 slice', '1 each', '1 piece']"
17,breakfast,2022-03-10 07:30:00Z,"Breakfast on Thursday, March 10, 2022","[1030, 1027, 1032, 1002]",9,"['2032.23', '105904.3', '23375.1', '57569', '106424', '103333', '129895', '128444']",1017,4,4.0,0.0,"['1/2 each', '2 each', '2 slice', '1 plate']"
18,dinner,2022-03-10 16:30:00Z,"Dinner on Thursday, March 10, 2022","[1140, 1139, 1028, 1181, 1170, 1058, 1096, 1107, 1090, 1053, 1457]",9,"['66514', '28951', '110573', '28985', '31169.3', '5550', '104943', '103767', '16844.1', '33569.3', '31020', '35106.7', '45535', '80565.3', '114692.1', '114583', '105268', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103630.1', '67991.2', '102671', '102810', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1018,48,10.0,38.0,"['1/2 each', '4 ounce', '1 half', '1/2 sandwich', '3 each', '1 each', '1 slice', '1 slice', '1 each', '1 piece']"
19,lunch,2022-03-10 11:00:00Z,"Lunch on Thursday, March 10, 2022","[1284, 1289, 1222, 1259, 1302, 1307, 1204, 1135, 1057, 1113, 1071, 1457]",9,"['123384', '120978.11', '101498', '1813.13', '50861', '5864.1', '80589.5', '128118', '83803.1', '103392', '103772', '6962.6', '19437', '22656.1', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1019,31,3.0,28.0,"['1 serving(s)', '1 each', '14 each']"
20,afterlunch,2022-03-11 14:30:00Z,"Afterlunch on Friday, March 11, 2022",[1193],9,"['86527', '26924.1', '1301', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '103643.1', '103574.3', '68050.2']",1020,14,5.0,9.0,"['1 each', '1 each', '1 slice', '1 slice', '1 slice']"
21,breakfast,2022-03-11 07:30:00Z,"Breakfast on Friday, March 11, 2022","[1030, 1021, 1029]",9,"['2032.23', '106402', '615.28', '5828', '5496.3', '8621', '610.22']",1021,4,3.0,1.0,"['1 each', '2 half', '2 each']"
22,dinner,2022-03-11 16:30:00Z,"Dinner on Friday, March 11, 2022","[1125, 1042, 1132, 1159, 1457, 1182, 1189, 1104, 1109, 1075, 1112, 1062, 1087, 1040, 1457]",9,"['103331', '104313', '102526', '45933', '102312', '13404', '3661', '112117', '3664.7', '1105', '29089.4', '102639', '103446.1', '12986.5', '104701', '36157', '47193', '28746', '100225.1', '100209.2', '5802', '47778.2', '105263', '100715.3', '32811', '34078', '63438', '14957', '47955.4', '46017.23', '43037.3', '102407', '44726.1', '82258.7', '14920', '63969', '1390', '1251', '82259', '62284.1', '62279', '63512.1', '48144.1', '14910', '48144.27', '22792.4', '1748', '43037.1', '43034.1', '46017.25', '63438', '13404.4', '62339', '57425', '13404', '47955.4', '14918', '24644.5', '66851.7', '47957.20', '47957.10', '62369', '62363', '103601']",1022,49,6.0,42.0,"['2 each', '2 each', '2 each', '2 ounce', '1 sandwich', '1/2 each']"
